"region","uid","date","weekid","rate.All","h1_pos","sh3_pos","b_pos","Adenovirus","paraflu12","paraflu34","RSV","temp.max","temp.mean","temp.min","relative.humidity","total.rainfall","solar.radiation","wind.speed","absolute.humidity","pressure","temp.range","monthid"
"HK","2004-27","2004-07-04",27,33.2175751170165,0.00359066427289048,0.206463195691203,0.0215439856373429,0.0430879712746858,0.00718132854578097,0.0287253141831239,0.0305206463195691,34.6,30.4285714285714,29.4,78.4285714285714,3.72857142857143,14.66,22.6428571428571,24.3290634699981,1000.2,4.45714285714286,7
"HK","2004-28","2004-07-11",28,45.6425997597758,0.00526315789473684,0.319298245614035,0.0157894736842105,0.0807017543859649,0.00175438596491228,0.0210526315789474,0.0543859649122807,32.3,29.5714285714286,29.3,77.7142857142857,3.43571428571429,15.7057142857143,27.0285714285714,23.0528315964977,1007.41428571429,3.51428571428571,7
"HK","2004-29","2004-07-18",29,48.5451306413302,0.0061633281972265,0.331278890600925,0.0215716486902928,0.0231124807395994,0.00616332819722651,0.0107858243451464,0.0416024653312789,32.8,27.7285714285714,27.3,81,19.3285714285714,15.7785714285714,18.6714285714286,21.6484026504755,1008.01428571429,4.9,7
"HK","2004-30","2004-07-25",30,48.8319729805798,0.00925925925925926,0.363756613756614,0.0211640211640212,0.0476190476190476,0.00793650793650794,0.0145502645502645,0.0304232804232804,30.9,27.7142857142857,27.3,84.7142857142857,16.0785714285714,16.4942857142857,24.3285714285714,22.6548971917052,1008.57142857143,3.54285714285714,7
"HK","2004-31","2004-08-01",31,44.8866937826845,0.00282087447108604,0.324400564174894,0.0211565585331453,0.0493653032440056,0.00564174894217207,0.0169252468265162,0.0437235543018336,31.9,27.7,26.8,83.7142857142857,14.9,13.7157142857143,17.3857142857143,22.3333249216209,1006.88571428571,3.68571428571429,8
"HK","2004-32","2004-08-08",32,42.7650849443468,0.0015600624024961,0.249609984399376,0.0280811232449298,0.0343213728549142,0.0062402496099844,0.0234009360374415,0.0499219968798752,32,28.5,28,80.1428571428571,17.2714285714286,17.4957142857143,15.2833333333333,22.3399538896984,1005.32857142857,4.24285714285714,8
"HK","2004-33","2004-08-15",33,42.4443106562312,0.00495049504950495,0.193069306930693,0.0264026402640264,0.0528052805280528,0.00165016501650165,0.0099009900990099,0.0627062706270627,33.9,29.1428571428571,28.9,78,8.20714285714286,16.7271428571429,19.22,22.580779367953,1002.97142857143,4.78571428571429,8
"HK","2004-34","2004-08-22",34,37.8586609989373,0,0.246467817896389,0.0376766091051805,0.043956043956044,0,0.00313971742543171,0.0565149136577708,33.4,28.6142857142857,29.3,82.5714285714286,13.0071428571429,11.8928571428571,12.6428571428571,23.1283104812231,1005.65714285714,3.71428571428571,8
"HK","2004-35","2004-08-29",35,37.7033999206244,0,0.177949709864603,0.034816247582205,0.0270793036750484,0,0.02321083172147,0.0367504835589942,32.7,27.6142857142857,27.5,84.8571428571429,28,8.9,19.1571428571429,22.5280508074903,999.3,4.07142857142857,8
"HK","2004-36","2004-09-05",36,32.8215241583322,0,0.154150197628458,0.0474308300395257,0.102766798418972,0.00592885375494071,0.00790513833992095,0.0810276679841897,32.4,28.3428571428571,27.7,85,5.92857142857143,14.5957142857143,15.3285714285714,23.5477462936407,1006.22857142857,3.91428571428571,9
